Doctor ID,Doctor Name,Specialization,Rating,Location,Availability
DOC119,Dr.Varun,Plastic Surgeon,4.3,"Malar Hospital,29/A, Wireless Rd, Santhosh Nagar, Airport, Tiruchirappalli, Tamil Nadu 620007",Tue–Sat (11AM–3PM)
DOC120,Dr.R Guna Sekaran,General Surgeon,4.7,"Kauvery Hospital, 6, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Mon–Fri (4PM–8PM)
DOC121,Dr.G.Jaya Chandran,General Surgeon,4.6,"Apollo ProHealth - Trichy,Chennai By-pass Road, near Old Palpannai, Mahalakshmi Nagar, Tiruchirappalli, Tamil Nadu 620008",Tue–Sat (11AM–3PM)
DOC122,DR.S.L Mohamed Lebby,General Surgeon,4.5,"Gamca Medical Trichy, No 2, Zackria complex, Central Bus stand, near aristo roundana, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Mon–Sat (9AM–12PM)
DOC123,Dr.A.Zameer Pasha, Critical Care Specialist,4.8,"Kauvery Hospital, 6, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Tue–Sat (11AM–3PM)
DOC124,Dr.M.S Ashraf, Critical Care Specialist,4.7,"Apollo Speciality Hospitals | Best Hospital in Trichy, Chennai Bypass Road Ariyamangalam Area, Old Palpannai, Tiruchirappalli, Tamil Nadu 620008",Mon–Fri (4PM–8PM)
DOC125,Dr.Veenu, Critical Care Specialist,4.3,"ATLAS HOSPITALS - ORTHO HOSPITAL (Multi speciality Hospital),First Cross, 34/1, Karur Bypass Rd, near Chathiram, V N Nagar, CHinthamani, Tiruchirappalli, Tamil Nadu 620002",Mon–Sat (9AM–12PM)
DOC126,Dr.Viresh,Addictionologists,4.8,"Aiyshwariya Hospital,jayanthi bus stop, 5/2-1,vathukara street, Salai Rd, housing colony, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Wed-Fri(1PM-4PM)
DOC127,Dr.Nidhi Rawal,Addictionologists,4.3,"SMS Hospital,No-128, RMGM+RM9 SMS Hospital, Jayanthi Bus Stop, 75-K, Salai Rd, near Jayanthi Bus Stop, Annamalai Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620018",Tue-Sun (4PM-8PM)
DOC128,Dr.Rakesh chopra,Addictionologists,4.6,"Kathir hospital,RUKMANI BUS STOP, 101 A, Salai Rd, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Wed-Fri(1PM-4PM)
DOC129,Dr.Sandeep,Addictionologists,4,"Olympia Hospital & Research Centre,47, 47-A, Puthur High Rd, Puthur, Tiruchirappalli, Tamil Nadu 620017",Tue-Sun (4PM-8PM)
DOC130,Dr.Ashok Seth,Dietitian,3.8,"Kathir hospital,RUKMANI BUS STOP, 101 A, Salai Rd, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Mon–Sat (9AM–12PM)
DOC131,Dr.P.Raghu Ram,Dietitian,3.7,"Kauvery Hospital, 6, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",
DOC132,Dr.Vivek,Dietitian,3.8,"Aiyshwariya Hospital,jayanthi bus stop, 5/2-1,vathukara street, Salai Rd, housing colony, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Tue-Sun (4PM-8PM)
DOC133,Dr.Ashok Rajgopal,Dietitian,4.3,"Olympia Hospital & Research Centre,47, 47-A, Puthur High Rd, Puthur, Tiruchirappalli, Tamil Nadu 620017",Tue-Sun (4PM-8PM)
DOC134,Dr.K.S.Lyer,Dietitian,4.2,"SMS Hospital,No-128, RMGM+RM9 SMS Hospital, Jayanthi Bus Stop, 75-K, Salai Rd, near Jayanthi Bus Stop, Annamalai Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620018",Tue-Sun (4PM-8PM)
